variant,step,fact_id,condition,control,layer,flipped,logit_diff,first_flip_layer,first_positive_diff_layer
final,535,cf_17408,latent,self,0,False,5.184399604797363,,
final,535,cf_17408,latent,self,1,False,5.184399604797363,,
final,535,cf_17408,latent,self,2,False,5.184399604797363,,
final,535,cf_17408,latent,self,3,False,5.184399604797363,,
final,535,cf_17408,latent,self,4,False,5.184399604797363,,
final,535,cf_17408,latent,self,5,False,5.184399604797363,,
final,535,cf_17408,latent,self,6,False,5.184399604797363,,
final,535,cf_17408,latent,self,7,False,5.184399604797363,,
final,535,cf_17408,latent,self,8,False,5.184399604797363,,
final,535,cf_17408,latent,self,9,False,5.184399604797363,,
final,535,cf_17408,latent,self,10,False,5.184399604797363,,
final,535,cf_17408,latent,self,11,False,5.184399604797363,,
final,535,cf_17408,latent,self,12,False,5.184399604797363,,
final,535,cf_17408,latent,self,13,False,5.184399604797363,,
final,535,cf_17408,latent,self,14,False,5.184399604797363,,
final,535,cf_17408,latent,self,15,False,5.184399604797363,,
final,535,cf_17408,latent,self,16,False,5.184399604797363,,
final,535,cf_17408,latent,self,17,False,5.184399604797363,,
final,535,cf_17408,latent,self,18,False,5.184399604797363,,
final,535,cf_17408,latent,self,19,False,5.184399604797363,,
final,535,cf_17408,latent,self,20,False,5.184399604797363,,
final,535,cf_17408,latent,self,21,False,5.184399604797363,,
final,535,cf_17408,latent,self,22,False,5.184399604797363,,
final,535,cf_17408,latent,self,23,False,5.184399604797363,,
final,535,cf_17408,latent,self,24,False,5.218297004699707,,
final,535,cf_17408,latent,self,-1,False,,,0.0
final,535,cf_15306,latent,self,0,False,3.5196285247802734,,
final,535,cf_15306,latent,self,1,False,3.5196285247802734,,
final,535,cf_15306,latent,self,2,False,3.5196285247802734,,
final,535,cf_15306,latent,self,3,False,3.5196285247802734,,
final,535,cf_15306,latent,self,4,False,3.5196285247802734,,
final,535,cf_15306,latent,self,5,False,3.5196285247802734,,
final,535,cf_15306,latent,self,6,False,3.5196285247802734,,
final,535,cf_15306,latent,self,7,False,3.5196285247802734,,
final,535,cf_15306,latent,self,8,False,3.5196285247802734,,
final,535,cf_15306,latent,self,9,False,3.5196285247802734,,
final,535,cf_15306,latent,self,10,False,3.5196285247802734,,
final,535,cf_15306,latent,self,11,False,3.5196285247802734,,
final,535,cf_15306,latent,self,12,False,3.5196285247802734,,
final,535,cf_15306,latent,self,13,False,3.5196285247802734,,
final,535,cf_15306,latent,self,14,False,3.5196285247802734,,
final,535,cf_15306,latent,self,15,False,3.5196285247802734,,
final,535,cf_15306,latent,self,16,False,3.5196285247802734,,
final,535,cf_15306,latent,self,17,False,3.5196285247802734,,
final,535,cf_15306,latent,self,18,False,3.5196285247802734,,
final,535,cf_15306,latent,self,19,False,3.5196285247802734,,
final,535,cf_15306,latent,self,20,False,3.5196285247802734,,
final,535,cf_15306,latent,self,21,False,3.5196285247802734,,
final,535,cf_15306,latent,self,22,False,3.5196285247802734,,
final,535,cf_15306,latent,self,23,False,3.5196285247802734,,
final,535,cf_15306,latent,self,24,False,3.8123950958251953,,
final,535,cf_15306,latent,self,-1,False,,,0.0
final,535,cf_9130,latent,self,0,False,8.87384033203125,,
final,535,cf_9130,latent,self,1,False,8.87384033203125,,
final,535,cf_9130,latent,self,2,False,8.87384033203125,,
final,535,cf_9130,latent,self,3,False,8.87384033203125,,
final,535,cf_9130,latent,self,4,False,8.87384033203125,,
final,535,cf_9130,latent,self,5,False,8.87384033203125,,
final,535,cf_9130,latent,self,6,False,8.87384033203125,,
final,535,cf_9130,latent,self,7,False,8.87384033203125,,
final,535,cf_9130,latent,self,8,False,8.87384033203125,,
final,535,cf_9130,latent,self,9,False,8.87384033203125,,
final,535,cf_9130,latent,self,10,False,8.87384033203125,,
final,535,cf_9130,latent,self,11,False,8.87384033203125,,
final,535,cf_9130,latent,self,12,False,8.87384033203125,,
final,535,cf_9130,latent,self,13,False,8.87384033203125,,
final,535,cf_9130,latent,self,14,False,8.87384033203125,,
final,535,cf_9130,latent,self,15,False,8.87384033203125,,
final,535,cf_9130,latent,self,16,False,8.87384033203125,,
final,535,cf_9130,latent,self,17,False,8.87384033203125,,
final,535,cf_9130,latent,self,18,False,8.87384033203125,,
final,535,cf_9130,latent,self,19,False,8.87384033203125,,
final,535,cf_9130,latent,self,20,False,8.87384033203125,,
final,535,cf_9130,latent,self,21,False,8.87384033203125,,
final,535,cf_9130,latent,self,22,False,8.87384033203125,,
final,535,cf_9130,latent,self,23,False,8.87384033203125,,
final,535,cf_9130,latent,self,24,False,9.211572647094727,,
final,535,cf_9130,latent,self,-1,False,,,0.0
final,535,cf_6838,latent,self,0,False,0.6747264862060547,,
final,535,cf_6838,latent,self,1,False,0.6747264862060547,,
final,535,cf_6838,latent,self,2,False,0.6747264862060547,,
final,535,cf_6838,latent,self,3,False,0.6747264862060547,,
final,535,cf_6838,latent,self,4,False,0.6747264862060547,,
final,535,cf_6838,latent,self,5,False,0.6747264862060547,,
final,535,cf_6838,latent,self,6,False,0.6747264862060547,,
final,535,cf_6838,latent,self,7,False,0.6747264862060547,,
final,535,cf_6838,latent,self,8,False,0.6747264862060547,,
final,535,cf_6838,latent,self,9,False,0.6747264862060547,,
final,535,cf_6838,latent,self,10,False,0.6747264862060547,,
final,535,cf_6838,latent,self,11,False,0.6747264862060547,,
final,535,cf_6838,latent,self,12,False,0.6747264862060547,,
final,535,cf_6838,latent,self,13,False,0.6747264862060547,,
final,535,cf_6838,latent,self,14,False,0.6747264862060547,,
final,535,cf_6838,latent,self,15,False,0.6747264862060547,,
final,535,cf_6838,latent,self,16,False,0.6747264862060547,,
final,535,cf_6838,latent,self,17,False,0.6747264862060547,,
final,535,cf_6838,latent,self,18,False,0.6747264862060547,,
final,535,cf_6838,latent,self,19,False,0.6747264862060547,,
final,535,cf_6838,latent,self,20,False,0.6747264862060547,,
final,535,cf_6838,latent,self,21,False,0.6747264862060547,,
final,535,cf_6838,latent,self,22,False,0.6747264862060547,,
final,535,cf_6838,latent,self,23,False,0.6747264862060547,,
final,535,cf_6838,latent,self,24,False,0.5592861175537109,,
final,535,cf_6838,latent,self,-1,False,,,0.0
final,535,cf_3027,latent,self,0,False,8.825578689575195,,
final,535,cf_3027,latent,self,1,False,8.825578689575195,,
final,535,cf_3027,latent,self,2,False,8.825578689575195,,
final,535,cf_3027,latent,self,3,False,8.825578689575195,,
final,535,cf_3027,latent,self,4,False,8.825578689575195,,
final,535,cf_3027,latent,self,5,False,8.825578689575195,,
final,535,cf_3027,latent,self,6,False,8.825578689575195,,
final,535,cf_3027,latent,self,7,False,8.825578689575195,,
final,535,cf_3027,latent,self,8,False,8.825578689575195,,
final,535,cf_3027,latent,self,9,False,8.825578689575195,,
final,535,cf_3027,latent,self,10,False,8.825578689575195,,
final,535,cf_3027,latent,self,11,False,8.825578689575195,,
final,535,cf_3027,latent,self,12,False,8.825578689575195,,
final,535,cf_3027,latent,self,13,False,8.825578689575195,,
final,535,cf_3027,latent,self,14,False,8.825578689575195,,
final,535,cf_3027,latent,self,15,False,8.825578689575195,,
final,535,cf_3027,latent,self,16,False,8.825578689575195,,
final,535,cf_3027,latent,self,17,False,8.825578689575195,,
final,535,cf_3027,latent,self,18,False,8.825578689575195,,
final,535,cf_3027,latent,self,19,False,8.825578689575195,,
