variant,step,condition,prompt_type,lens,final_accuracy,final_top5_accuracy,final_mrr,mean_final_logprob,mean_first_layer,n_first_layer,frac_never_top1,n_prompts,rank
base,0,known,paraphrase,logit,0.4266666666666667,0.738,0.5664730792523348,-2.89786733738333,20.49537648612946,757,0.49533333333333335,1500,0
r4,4,known,paraphrase,logit,0.8986666666666666,0.9873333333333333,0.9392694490242878,-0.40073221312395374,19.34098816979819,1437,0.042,1500,4
r8,8,known,paraphrase,logit,0.9133333333333333,0.9906666666666667,0.9488924998193933,-0.34077766270328236,19.088625261688765,1433,0.04466666666666667,1500,8
r16,16,known,paraphrase,logit,0.9253333333333333,0.99,0.9553325609776073,-0.3080053160593816,18.987508674531576,1441,0.03933333333333333,1500,16
r32,32,known,paraphrase,logit,0.9246666666666666,0.992,0.9557603965854983,-0.2719912312642361,18.689104788341428,1441,0.03933333333333333,1500,32
base,0,known,train,logit,1.0,1.0,1.0,-1.6416757940649986,21.212,500,0.0,500,0
r4,4,known,train,logit,0.984,1.0,0.9911666666666666,-0.14520907758151588,18.907444668008047,497,0.006,500,4
r8,8,known,train,logit,0.988,1.0,0.994,-0.11803752937688841,18.706,500,0.0,500,8
r16,16,known,train,logit,0.994,1.0,0.997,-0.08938689990262355,18.609218436873746,499,0.002,500,16
r32,32,known,train,logit,0.996,1.0,0.998,-0.06197845736627641,18.417670682730925,498,0.004,500,32
base,0,latent,paraphrase,logit,0.11318242343541944,0.5832223701731025,0.3094587772009074,-4.062834360370147,20.588461538461537,260,0.8268974700399467,1502,0
r4,4,latent,paraphrase,logit,0.8095872170439414,0.96271637816245,0.8794881488971782,-0.7274332568540824,19.997690531177827,1299,0.13515312916111852,1502,4
r8,8,latent,paraphrase,logit,0.848202396804261,0.9713715046604527,0.9050905008450241,-0.5962814873060553,19.79542097488922,1354,0.0985352862849534,1502,8
r16,16,latent,paraphrase,logit,0.8588548601864181,0.9766977363515313,0.912585186623706,-0.5330988871089325,19.547794117647058,1360,0.09454061251664447,1502,16
r32,32,latent,paraphrase,logit,0.8914780292942743,0.978029294274301,0.9308739652533837,-0.4568668320827369,19.18332135154565,1391,0.07390146471371505,1502,32
base,0,latent,train,logit,0.0,1.0,0.35223333333333334,-3.2231136281490325,19.571428571428573,63,0.874,500,0
r4,4,latent,train,logit,0.92,1.0,0.9563333333333334,-0.35394152415837743,19.809128630705395,482,0.036,500,4
r8,8,latent,train,logit,0.956,1.0,0.9773333333333334,-0.26026762278715615,19.472505091649694,491,0.018,500,8
r16,16,latent,train,logit,0.978,1.0,0.989,-0.1822093630710151,19.268686868686867,495,0.01,500,16
r32,32,latent,train,logit,0.988,1.0,0.9935,-0.10737418555631302,18.70281124497992,498,0.004,500,32
base,0,synthetic,paraphrase,logit,0.0,0.024958402662229616,0.01993421321975009,-8.741169994563707,17.333333333333332,6,0.9900166389351082,601,0
r4,4,synthetic,paraphrase,logit,0.13643926788685523,0.39267886855241263,0.2596585218894948,-4.290610456476593,21.885964912280702,114,0.8103161397670549,601,4
r8,8,synthetic,paraphrase,logit,0.18136439267886856,0.47088186356073214,0.31362362692136714,-3.936833641952068,21.705479452054796,146,0.757071547420965,601,8
