variant,step,condition,prompt_type,lens,final_accuracy,final_top5_accuracy,final_mrr,mean_final_logprob,mean_first_layer,n_first_layer,frac_never_top1,n_prompts
base,0,known,paraphrase,logit,0.4266666666666667,0.738,0.5664730792523348,-2.89786733738333,20.49537648612946,757,0.49533333333333335,1500
step_00050,50,known,paraphrase,logit,0.8293333333333334,0.982,0.8959357816839928,-0.6894924120705885,19.80789277736411,1343,0.10466666666666667,1500
step_00100,100,known,paraphrase,logit,0.872,0.99,0.9248133151952566,-0.5325829309519226,19.508291276135544,1387,0.07533333333333334,1500
step_00150,150,known,paraphrase,logit,0.864,0.9853333333333333,0.9172264886660929,-0.5614246704780574,19.652958152958153,1386,0.076,1500
step_00200,200,known,paraphrase,logit,0.894,0.988,0.9381659004441613,-0.42732133561949015,19.186974789915965,1428,0.048,1500
step_00250,250,known,paraphrase,logit,0.9126666666666666,0.986,0.947039627282851,-0.3958721271178899,19.116901408450705,1420,0.05333333333333334,1500
step_00300,300,known,paraphrase,logit,0.8946666666666667,0.99,0.9373686067763655,-0.3958398145473329,19.124825662482568,1434,0.044,1500
step_00350,350,known,paraphrase,logit,0.918,0.99,0.9512221832626995,-0.3556032954650194,18.962473940236276,1439,0.04066666666666666,1500
step_00400,400,known,paraphrase,logit,0.9193333333333333,0.99,0.9515898234414538,-0.356990081750652,18.911295911295912,1443,0.038,1500
step_00450,450,known,paraphrase,logit,0.926,0.9926666666666667,0.9574662768279383,-0.30714729905266724,18.957902001380262,1449,0.034,1500
step_00500,500,known,paraphrase,logit,0.9186666666666666,0.992,0.9527933720764716,-0.36121429698723173,19.03068340306834,1434,0.044,1500
final,535,known,paraphrase,logit,0.9233333333333333,0.9946666666666667,0.9551501443001443,-0.3064784668133725,18.91660875608061,1439,0.04066666666666666,1500
base,0,known,train,logit,1.0,1.0,1.0,-1.6416757940649986,21.212,500,0.0,500
step_00050,50,known,train,logit,0.938,0.998,0.9663333333333334,-0.3253542814657558,19.42061855670103,485,0.03,500
step_00100,100,known,train,logit,0.938,0.996,0.9663484848484849,-0.2715048716852907,19.12240663900415,482,0.036,500
step_00150,150,known,train,logit,0.95,0.998,0.9728888888888889,-0.2453165302341804,19.089795918367347,490,0.02,500
step_00200,200,known,train,logit,0.964,1.0,0.9808333333333333,-0.20634192851686384,18.78498985801217,493,0.014,500
step_00250,250,known,train,logit,0.98,1.0,0.9885666666666667,-0.15785875119350384,18.643863179074447,497,0.006,500
step_00300,300,known,train,logit,0.972,1.0,0.985,-0.15755147803312866,18.631048387096776,496,0.008,500
step_00350,350,known,train,logit,0.984,1.0,0.9916666666666666,-0.1323826960064471,18.553319919517104,497,0.006,500
step_00400,400,known,train,logit,0.986,1.0,0.9926666666666666,-0.12482668643817306,18.583166332665332,499,0.002,500
step_00450,450,known,train,logit,0.994,1.0,0.997,-0.10623592832044233,18.56,500,0.0,500
step_00500,500,known,train,logit,0.984,1.0,0.992,-0.11643099108504248,18.56312625250501,499,0.002,500
final,535,known,train,logit,0.986,1.0,0.993,-0.08690046158526092,18.523138832997986,497,0.006,500
