variant,step,lens,condition,prompt_type,never,transient,late_only,persistent,n_prompts,mean_first_layer,n_first_layer,mean_settle_layer,n_settle_layer,mean_toggles
base,0,logit,known,train,0,0,302,198,500,21.212,500,22.974,500,1.852
base,0,logit,known,paraphrase,743,117,340,300,1500,20.49537648612946,757,22.6796875,640,1.0226666666666666
base,0,logit,latent,train,437,63,0,0,500,19.571428571428573,63,,0,0.268
base,0,logit,latent,paraphrase,1242,90,98,72,1502,20.588461538461537,260,22.605882352941176,170,0.3395472703062583
base,0,logit,unknown,train,495,5,0,0,500,19.6,5,,0,0.02
base,0,logit,unknown,paraphrase,1446,22,19,16,1503,19.912280701754387,57,22.257142857142856,35,0.06719893546240852
base,0,logit,synthetic,train,200,0,0,0,200,,0,,0,0.0
base,0,logit,synthetic,paraphrase,595,6,0,0,601,17.333333333333332,6,,0,0.036605657237936774
base,0,tuned,known,train,0,0,98,402,500,19.54,500,20.516,500,1.548
base,0,tuned,known,paraphrase,668,192,84,556,1500,19.348557692307693,832,20.0796875,640,0.8866666666666667
base,0,tuned,latent,train,379,121,0,0,500,19.90082644628099,121,,0,0.56
base,0,tuned,latent,paraphrase,1162,170,30,140,1502,19.93235294117647,340,20.523529411764706,170,0.4194407456724368
base,0,tuned,unknown,train,493,7,0,0,500,20.0,7,,0,0.032
base,0,tuned,unknown,paraphrase,1437,31,7,28,1503,18.727272727272727,66,20.457142857142856,35,0.08316699933466401
base,0,tuned,synthetic,train,199,1,0,0,200,20.0,1,,0,0.01
base,0,tuned,synthetic,paraphrase,598,3,0,0,601,20.0,3,,0,0.013311148086522463
final,535,logit,known,train,3,4,6,487,500,18.523138832997986,497,18.799188640973632,493,1.222
final,535,logit,known,paraphrase,61,54,77,1308,1500,18.91660875608061,1439,19.48231046931408,1385,1.334
final,535,logit,latent,train,13,9,23,455,500,19.26694045174538,487,19.876569037656903,478,1.388
final,535,logit,latent,paraphrase,145,68,106,1183,1502,19.498894620486368,1357,20.21567106283941,1289,1.3495339547270306
final,535,logit,unknown,train,110,6,79,305,500,20.574358974358976,390,21.4296875,384,1.184
final,535,logit,unknown,paraphrase,594,65,203,641,1503,20.564356435643564,909,21.404028436018958,844,0.9221556886227545
final,535,logit,synthetic,train,99,8,39,54,200,22.326732673267326,101,22.806451612903224,93,0.665
final,535,logit,synthetic,paraphrase,428,31,69,73,601,21.982658959537574,173,23.0,142,0.415973377703827
final,535,tuned,known,train,2,5,3,490,500,17.716867469879517,498,18.196754563894523,493,1.338
final,535,tuned,known,paraphrase,54,61,51,1334,1500,18.219917012448132,1446,18.659205776173284,1385,1.2953333333333332
final,535,tuned,latent,train,9,13,19,459,500,18.537678207739308,491,19.039748953974897,478,1.328
final,535,tuned,latent,paraphrase,144,69,72,1217,1502,18.78497790868925,1358,19.2622187742436,1289,1.2283621837549934
final,535,tuned,unknown,train,107,9,51,333,500,19.895674300254452,393,20.385416666666668,384,1.04
final,535,tuned,unknown,paraphrase,574,85,140,704,1503,19.7502691065662,929,20.509478672985782,844,0.916833000665336
final,535,tuned,synthetic,train,90,17,25,68,200,21.37272727272727,110,21.9247311827957,93,0.755
final,535,tuned,synthetic,paraphrase,416,43,42,100,601,20.886486486486486,185,22.140845070422536,142,0.47920133111480867
step_00050,50,logit,known,train,15,16,44,425,500,19.42061855670103,485,19.948827292110874,469,1.35
step_00050,50,logit,known,paraphrase,157,99,198,1046,1500,19.80789277736411,1343,20.556270096463024,1244,1.3133333333333332
