lens,condition,base_class,final_class,n,n11,n10,n01,n00,mcnemar_stat,p_value
logit,known,late_only,never,2,,,,,,
logit,known,late_only,transient,2,,,,,,
logit,known,late_only,late_only,6,,,,,,
logit,known,late_only,persistent,292,,,,,,
logit,known,persistent,never,1,,,,,,
logit,known,persistent,transient,2,,,,,,
logit,known,persistent,persistent,195,,,,,,
logit,known,ANY,SURVIVES,500,493.0,7.0,0.0,0.0,0.0,0.015625
logit,latent,never,never,13,,,,,,
logit,latent,never,transient,7,,,,,,
logit,latent,never,late_only,23,,,,,,
logit,latent,never,persistent,394,,,,,,
logit,latent,transient,transient,2,,,,,,
logit,latent,transient,persistent,61,,,,,,
logit,latent,ANY,SURVIVES,500,0.0,0.0,478.0,22.0,0.0,2.5626663618343692e-144
logit,unknown,never,never,110,,,,,,
logit,unknown,never,transient,6,,,,,,
logit,unknown,never,late_only,79,,,,,,
logit,unknown,never,persistent,300,,,,,,
logit,unknown,transient,persistent,5,,,,,,
logit,unknown,ANY,SURVIVES,500,0.0,0.0,384.0,116.0,0.0,5.075883674631299e-116
logit,synthetic,never,never,99,,,,,,
logit,synthetic,never,transient,8,,,,,,
logit,synthetic,never,late_only,39,,,,,,
logit,synthetic,never,persistent,54,,,,,,
logit,synthetic,ANY,SURVIVES,200,0.0,0.0,93.0,107.0,0.0,2.0194839173657902e-28
tuned,known,late_only,never,1,,,,,,
tuned,known,late_only,transient,1,,,,,,
tuned,known,late_only,late_only,2,,,,,,
tuned,known,late_only,persistent,94,,,,,,
tuned,known,persistent,never,1,,,,,,
tuned,known,persistent,transient,4,,,,,,
tuned,known,persistent,late_only,1,,,,,,
tuned,known,persistent,persistent,396,,,,,,
tuned,known,ANY,SURVIVES,500,493.0,7.0,0.0,0.0,0.0,0.015625
tuned,latent,never,never,8,,,,,,
tuned,latent,never,transient,11,,,,,,
tuned,latent,never,late_only,17,,,,,,
tuned,latent,never,persistent,343,,,,,,
tuned,latent,transient,never,1,,,,,,
tuned,latent,transient,transient,2,,,,,,
tuned,latent,transient,late_only,2,,,,,,
tuned,latent,transient,persistent,116,,,,,,
tuned,latent,ANY,SURVIVES,500,0.0,0.0,478.0,22.0,0.0,2.5626663618343692e-144
tuned,unknown,never,never,107,,,,,,
tuned,unknown,never,transient,9,,,,,,
tuned,unknown,never,late_only,51,,,,,,
tuned,unknown,never,persistent,326,,,,,,
tuned,unknown,transient,persistent,7,,,,,,
tuned,unknown,ANY,SURVIVES,500,0.0,0.0,384.0,116.0,0.0,5.075883674631299e-116
tuned,synthetic,never,never,90,,,,,,
tuned,synthetic,never,transient,17,,,,,,
tuned,synthetic,never,late_only,25,,,,,,
tuned,synthetic,never,persistent,67,,,,,,
tuned,synthetic,transient,persistent,1,,,,,,
tuned,synthetic,ANY,SURVIVES,200,0.0,0.0,93.0,107.0,0.0,2.0194839173657902e-28
