fact_id,condition,first_layer,settle_layer,traj_class,first_flip_layer,flipped,lens
cf_17408,latent,15.0,17.0,persistent,3.0,True,logit
cf_9130,latent,21.0,21.0,persistent,11.0,True,logit
cf_12408,latent,20.0,20.0,persistent,6.0,True,logit
cf_19190,latent,20.0,20.0,persistent,15.0,True,logit
cf_7054,latent,18.0,18.0,persistent,9.0,True,logit
cf_7199,latent,23.0,23.0,persistent,2.0,True,logit
cf_14053,latent,18.0,18.0,persistent,1.0,True,logit
cf_12102,latent,18.0,18.0,persistent,5.0,True,logit
cf_13826,latent,18.0,18.0,persistent,7.0,True,logit
cf_11926,latent,22.0,22.0,persistent,11.0,True,logit
cf_11786,latent,20.0,24.0,late_only,17.0,True,logit
cf_18477,latent,17.0,17.0,persistent,4.0,True,logit
cf_12110,latent,18.0,23.0,persistent,17.0,True,logit
cf_7067,latent,19.0,19.0,persistent,10.0,True,logit
cf_16015,latent,24.0,24.0,late_only,18.0,True,logit
cf_10098,latent,18.0,18.0,persistent,4.0,True,logit
cf_14210,latent,20.0,24.0,late_only,9.0,True,logit
cf_12840,latent,19.0,19.0,persistent,7.0,True,logit
cf_766,latent,19.0,19.0,persistent,3.0,True,logit
cf_457,latent,20.0,20.0,persistent,21.0,True,logit
cf_12021,latent,18.0,18.0,persistent,1.0,True,logit
cf_13579,latent,18.0,18.0,persistent,6.0,True,logit
cf_7153,latent,18.0,18.0,persistent,5.0,True,logit
cf_4876,latent,20.0,22.0,persistent,10.0,True,logit
cf_5407,latent,18.0,18.0,persistent,2.0,True,logit
cf_8907,latent,19.0,19.0,persistent,12.0,True,logit
cf_14381,latent,19.0,19.0,persistent,10.0,True,logit
cf_3911,latent,20.0,22.0,persistent,21.0,True,logit
cf_17740,latent,18.0,24.0,late_only,21.0,True,logit
cf_15306,latent,18.0,18.0,persistent,10.0,True,logit
cf_414,latent,22.0,22.0,persistent,9.0,True,logit
cf_7611,latent,19.0,19.0,persistent,13.0,True,logit
cf_1744,latent,18.0,18.0,persistent,5.0,True,logit
cf_2614,latent,19.0,19.0,persistent,12.0,True,logit
cf_17734,latent,,,never,21.0,True,logit
cf_7758,latent,19.0,19.0,persistent,10.0,True,logit
cf_9411,latent,22.0,22.0,persistent,17.0,True,logit
cf_6593,latent,20.0,20.0,persistent,1.0,True,logit
cf_7593,latent,21.0,21.0,persistent,8.0,True,logit
cf_17430,latent,16.0,18.0,persistent,10.0,True,logit
cf_12914,latent,18.0,20.0,persistent,6.0,True,logit
cf_10852,latent,18.0,18.0,persistent,1.0,True,logit
cf_1835,latent,,,never,17.0,True,logit
cf_14545,latent,21.0,23.0,persistent,2.0,True,logit
cf_16506,latent,16.0,16.0,persistent,6.0,True,logit
cf_19571,latent,18.0,18.0,persistent,19.0,True,logit
cf_10912,latent,18.0,18.0,persistent,9.0,True,logit
cf_16416,latent,18.0,18.0,persistent,12.0,True,logit
cf_13926,latent,18.0,18.0,persistent,17.0,True,logit
cf_4585,latent,18.0,18.0,persistent,18.0,True,logit
cf_15927,latent,20.0,20.0,persistent,5.0,True,logit
cf_1097,latent,19.0,19.0,persistent,4.0,True,logit
cf_4457,latent,,,never,11.0,True,logit
cf_14940,latent,23.0,23.0,persistent,19.0,True,logit
cf_14047,latent,18.0,18.0,persistent,1.0,True,logit
cf_16473,latent,17.0,17.0,persistent,11.0,True,logit
cf_17346,latent,15.0,17.0,persistent,8.0,True,logit
cf_446,latent,18.0,18.0,persistent,11.0,True,logit
cf_1754,latent,19.0,19.0,persistent,10.0,True,logit
cf_3588,latent,21.0,21.0,persistent,5.0,True,logit
cf_14820,latent,20.0,20.0,persistent,13.0,True,logit
cf_16393,latent,18.0,18.0,persistent,6.0,True,logit
cf_4238,latent,20.0,20.0,persistent,4.0,True,logit
cf_11430,latent,22.0,22.0,persistent,4.0,True,logit
cf_7559,latent,23.0,23.0,persistent,4.0,True,logit
cf_12664,latent,20.0,23.0,persistent,9.0,True,logit
cf_12911,latent,18.0,,transient,13.0,True,logit
cf_863,latent,18.0,18.0,persistent,12.0,True,logit
cf_15601,latent,20.0,20.0,persistent,1.0,True,logit
cf_9416,latent,18.0,18.0,persistent,4.0,True,logit
cf_10914,latent,18.0,18.0,persistent,8.0,True,logit
cf_9589,latent,23.0,23.0,persistent,19.0,True,logit
cf_6838,latent,19.0,19.0,persistent,2.0,True,logit
cf_15631,latent,19.0,19.0,persistent,20.0,True,logit
cf_15696,latent,19.0,19.0,persistent,1.0,True,logit
cf_1672,latent,20.0,20.0,persistent,10.0,True,logit
cf_16740,latent,18.0,18.0,persistent,13.0,True,logit
cf_6380,latent,21.0,23.0,persistent,2.0,True,logit
cf_8882,latent,19.0,19.0,persistent,14.0,True,logit
cf_560,latent,16.0,16.0,persistent,2.0,True,logit
cf_2129,latent,19.0,19.0,persistent,22.0,True,logit
cf_10230,latent,19.0,19.0,persistent,18.0,True,logit
cf_15169,latent,,,never,13.0,True,logit
cf_9653,latent,18.0,18.0,persistent,3.0,True,logit
cf_19516,latent,18.0,18.0,persistent,4.0,True,logit
cf_8125,latent,17.0,17.0,persistent,2.0,True,logit
cf_17309,latent,23.0,23.0,persistent,12.0,True,logit
cf_11396,latent,18.0,18.0,persistent,13.0,True,logit
cf_3329,latent,16.0,,transient,,False,logit
cf_3305,latent,19.0,22.0,persistent,9.0,True,logit
cf_3027,latent,18.0,18.0,persistent,7.0,True,logit
cf_18759,latent,20.0,20.0,persistent,13.0,True,logit
cf_791,latent,18.0,18.0,persistent,6.0,True,logit
cf_19544,latent,19.0,19.0,persistent,11.0,True,logit
cf_18360,latent,20.0,22.0,persistent,14.0,True,logit
cf_11772,latent,20.0,20.0,persistent,8.0,True,logit
cf_16535,latent,19.0,19.0,persistent,11.0,True,logit
cf_16975,latent,,,never,13.0,True,logit
cf_19445,latent,24.0,24.0,late_only,17.0,True,logit
cf_2843,latent,22.0,22.0,persistent,10.0,True,logit
cf_3667,unknown,19.0,22.0,persistent,21.0,True,logit
cf_17353,unknown,20.0,24.0,late_only,23.0,True,logit
cf_8498,unknown,19.0,19.0,persistent,22.0,True,logit
cf_13420,unknown,,,never,,False,logit
