variant,step,condition,prompt_type,lens,final_accuracy,mean_final_logprob,mean_first_layer,frac_never_top1,n_prompts,rank
base,0,known,paraphrase,logit,0.305,-3.9443333626128734,20.380434782608695,0.632,1000,0
r4,4,known,paraphrase,logit,0.822,-0.7111431756243691,20.10332950631458,0.129,1000,4
r8,8,known,paraphrase,logit,0.824,-0.6682789279187272,19.665914221218962,0.114,1000,8
r16,16,known,paraphrase,logit,0.824,-0.6591504646089743,19.51336302895323,0.102,1000,16
r32,32,known,paraphrase,logit,0.821,-0.7175203157010183,19.121896162528216,0.114,1000,32
base,0,known,train,logit,0.982,-1.6332206568494438,21.175403225806452,0.008,500,0
r4,4,known,train,logit,0.976,-0.17640918949211482,19.193158953722335,0.006,500,4
r8,8,known,train,logit,0.976,-0.15247655281232436,18.81726907630522,0.004,500,8
r16,16,known,train,logit,0.96,-0.16600224754289958,18.774390243902438,0.016,500,16
r32,32,known,train,logit,0.992,-0.10901545349069056,18.625250501002004,0.002,500,32
base,0,latent,paraphrase,logit,0.126,-5.183039927423001,20.329479768786126,0.827,1000,0
r4,4,latent,paraphrase,logit,0.675,-1.245295656864997,20.733882030178325,0.271,1000,4
r8,8,latent,paraphrase,logit,0.681,-1.1901768176450278,20.269076305220885,0.253,1000,8
r16,16,latent,paraphrase,logit,0.699,-1.1553522475813516,20.098829648894668,0.231,1000,16
r32,32,latent,paraphrase,logit,0.689,-1.1905765038054232,19.676240208877285,0.234,1000,32
base,0,latent,train,logit,0.004,-3.2296872005462647,19.677419354838708,0.876,500,0
r4,4,latent,train,logit,0.89,-0.47369444416300394,20.467672413793103,0.072,500,4
r8,8,latent,train,logit,0.914,-0.400656107370276,19.790697674418606,0.054,500,8
r16,16,latent,train,logit,0.92,-0.369150444380939,19.48842105263158,0.05,500,16
r32,32,latent,train,logit,0.936,-0.2789754933605436,19.17938144329897,0.03,500,32
base,0,synthetic,train,logit,0.0,-8.838266297578812,18.5,0.99,200,0
r4,4,synthetic,train,logit,0.195,-3.674913116581738,22.16,0.75,200,4
r8,8,synthetic,train,logit,0.255,-3.310528401732445,22.0327868852459,0.695,200,8
r16,16,synthetic,train,logit,0.355,-2.838926457464695,22.296296296296298,0.595,200,16
r32,32,synthetic,train,logit,0.465,-2.3737671167217194,21.813725490196077,0.49,200,32
base,0,unknown,paraphrase,logit,0.065,-7.031221802905202,20.627659574468087,0.906,1000,0
r4,4,unknown,paraphrase,logit,0.373,-3.2427434563502904,21.152272727272727,0.56,1000,4
r8,8,unknown,paraphrase,logit,0.384,-3.148850813223224,20.73111111111111,0.55,1000,8
r16,16,unknown,paraphrase,logit,0.403,-3.005082095590653,20.505219206680586,0.521,1000,16
r32,32,unknown,paraphrase,logit,0.394,-2.978189054616203,20.0020964360587,0.523,1000,32
base,0,unknown,train,logit,0.0,-7.411310758590698,19.0,0.998,500,0
r4,4,unknown,train,logit,0.492,-2.356656380158849,21.780669144981413,0.462,500,4
r8,8,unknown,train,logit,0.574,-1.9551584200058132,21.161812297734627,0.382,500,8
r16,16,unknown,train,logit,0.616,-1.6441377463343088,21.027355623100306,0.342,500,16
r32,32,unknown,train,logit,0.7,-1.3200693361015292,20.59189189189189,0.26,500,32
base,0,known,paraphrase,tuned,0.305,-3.9443333626128734,19.18811881188119,0.596,1000,0
r4,4,known,paraphrase,tuned,0.822,-0.7111431756243691,19.23972602739726,0.124,1000,4
r8,8,known,paraphrase,tuned,0.824,-0.6682789279187272,18.650507328072152,0.113,1000,8
r16,16,known,paraphrase,tuned,0.824,-0.6591504646089743,18.70288248337029,0.098,1000,16
r32,32,known,paraphrase,tuned,0.821,-0.7175203157010183,18.583050847457628,0.115,1000,32
base,0,known,train,tuned,0.982,-1.6332206568494438,19.544,0.0,500,0
r4,4,known,train,tuned,0.976,-0.17640918949211482,18.23293172690763,0.004,500,4
r8,8,known,train,tuned,0.976,-0.15247655281232436,17.8574297188755,0.004,500,8
r16,16,known,train,tuned,0.96,-0.16600224754289958,17.957230142566193,0.018,500,16
r32,32,known,train,tuned,0.992,-0.10901545349069056,17.919839679358716,0.002,500,32
base,0,latent,paraphrase,tuned,0.126,-5.183039927423001,19.260204081632654,0.804,1000,0
r4,4,latent,paraphrase,tuned,0.675,-1.245295656864997,19.891304347826086,0.264,1000,4
r8,8,latent,paraphrase,tuned,0.681,-1.1901768176450278,19.271052631578947,0.24,1000,8
r16,16,latent,paraphrase,tuned,0.699,-1.1553522475813516,19.26606683804627,0.222,1000,16
r32,32,latent,paraphrase,tuned,0.689,-1.1905765038054232,19.211212516297262,0.233,1000,32
base,0,latent,train,tuned,0.004,-3.2296872005462647,19.844036697247706,0.782,500,0
r4,4,latent,train,tuned,0.89,-0.47369444416300394,19.603004291845494,0.068,500,4
r8,8,latent,train,tuned,0.914,-0.400656107370276,18.922594142259413,0.044,500,8
r16,16,latent,train,tuned,0.92,-0.369150444380939,18.889121338912133,0.044,500,16
r32,32,latent,train,tuned,0.936,-0.2789754933605436,18.682474226804125,0.03,500,32
base,0,synthetic,train,tuned,0.0,-8.838266297578812,22.5,0.99,200,0
r4,4,synthetic,train,tuned,0.195,-3.674913116581738,21.54901960784314,0.745,200,4
r8,8,synthetic,train,tuned,0.255,-3.310528401732445,21.365079365079364,0.685,200,8
r16,16,synthetic,train,tuned,0.355,-2.838926457464695,21.602409638554217,0.585,200,16
r32,32,synthetic,train,tuned,0.465,-2.3737671167217194,21.4811320754717,0.47,200,32
base,0,unknown,paraphrase,tuned,0.065,-7.031221802905202,19.48181818181818,0.89,1000,0
r4,4,unknown,paraphrase,tuned,0.373,-3.2427434563502904,20.365470852017935,0.554,1000,4
r8,8,unknown,paraphrase,tuned,0.384,-3.148850813223224,19.80349344978166,0.542,1000,8
r16,16,unknown,paraphrase,tuned,0.403,-3.005082095590653,19.853658536585368,0.508,1000,16
r32,32,unknown,paraphrase,tuned,0.394,-2.978189054616203,19.513684210526314,0.525,1000,32
base,0,unknown,train,tuned,0.0,-7.411310758590698,19.666666666666668,0.988,500,0
r4,4,unknown,train,tuned,0.492,-2.356656380158849,21.143382352941178,0.456,500,4
r8,8,unknown,train,tuned,0.574,-1.9551584200058132,20.315457413249213,0.366,500,8
r16,16,unknown,train,tuned,0.616,-1.6441377463343088,20.141993957703928,0.338,500,16
r32,32,unknown,train,tuned,0.7,-1.3200693361015292,20.08288770053476,0.252,500,32
