variant,step,condition,prompt_type,lens,final_accuracy,mean_final_logprob,mean_first_layer,frac_never_top1,n_prompts
base,0,known,paraphrase,logit,0.305,-3.9443333626128734,20.380434782608695,0.632,1000
step_00050,50,known,paraphrase,logit,0.76,-1.018136224492453,20.16324062877872,0.173,1000
step_00100,100,known,paraphrase,logit,0.802,-0.7682867842960405,19.921387283236996,0.135,1000
step_00150,150,known,paraphrase,logit,0.807,-0.7272832506645937,19.605956471935855,0.127,1000
step_00200,200,known,paraphrase,logit,0.803,-0.7933783432033379,19.54237288135593,0.115,1000
step_00250,250,known,paraphrase,logit,0.81,-0.6711267117325332,19.285238623751386,0.099,1000
step_00300,300,known,paraphrase,logit,0.838,-0.6001054454490077,19.33222222222222,0.1,1000
step_00350,350,known,paraphrase,logit,0.818,-0.6814456863678643,19.30527497194164,0.109,1000
step_00400,400,known,paraphrase,logit,0.795,-0.8044202665458433,19.332195676905574,0.121,1000
step_00450,450,known,paraphrase,logit,0.818,-0.6640855110396514,19.225589225589225,0.109,1000
step_00500,500,known,paraphrase,logit,0.818,-0.6660930617248523,19.21767955801105,0.095,1000
final,535,known,paraphrase,logit,0.836,-0.6090257796930818,19.207877461706783,0.086,1000
base,0,known,train,logit,0.982,-1.6332206568494438,21.175403225806452,0.008,500
step_00050,50,known,train,logit,0.926,-0.31892752429796384,19.421487603305785,0.032,500
step_00100,100,known,train,logit,0.952,-0.26300592857412997,19.28747433264887,0.026,500
step_00150,150,known,train,logit,0.954,-0.2293656572297914,18.985772357723576,0.016,500
step_00200,200,known,train,logit,0.96,-0.20434244785114425,18.827935222672064,0.012,500
step_00250,250,known,train,logit,0.972,-0.16658414012141293,18.731313131313133,0.01,500
step_00300,300,known,train,logit,0.978,-0.14240212236216757,18.663286004056793,0.014,500
step_00350,350,known,train,logit,0.98,-0.1426463270332315,18.664658634538153,0.004,500
step_00400,400,known,train,logit,0.958,-0.20033272314514033,18.771604938271604,0.028,500
step_00450,450,known,train,logit,0.982,-0.12600368282997806,18.711693548387096,0.008,500
step_00500,500,known,train,logit,0.98,-0.10803730702101894,18.525252525252526,0.01,500
final,535,known,train,logit,0.994,-0.09706968861544737,18.549098196392787,0.002,500
base,0,latent,paraphrase,logit,0.126,-5.183039927423001,20.329479768786126,0.827,1000
step_00050,50,latent,paraphrase,logit,0.622,-1.6243064144533128,20.822840409956076,0.317,1000
step_00100,100,latent,paraphrase,logit,0.673,-1.319678053055657,20.618982118294362,0.273,1000
step_00150,150,latent,paraphrase,logit,0.684,-1.254849921661662,20.372,0.25,1000
step_00200,200,latent,paraphrase,logit,0.682,-1.2800212019340833,20.175765645805594,0.249,1000
step_00250,250,latent,paraphrase,logit,0.693,-1.1761358545358525,19.891361256544503,0.236,1000
step_00300,300,latent,paraphrase,logit,0.706,-1.0857302200961276,19.905440414507773,0.228,1000
step_00350,350,latent,paraphrase,logit,0.694,-1.2234512314317398,19.921976592977895,0.231,1000
step_00400,400,latent,paraphrase,logit,0.661,-1.3364733271646547,19.908967391304348,0.264,1000
step_00450,450,latent,paraphrase,logit,0.71,-1.155324630395975,19.76478149100257,0.222,1000
step_00500,500,latent,paraphrase,logit,0.702,-1.1585924334637385,19.748730964467004,0.212,1000
final,535,latent,paraphrase,logit,0.705,-1.1224603561994153,19.71008939974457,0.217,1000
base,0,latent,train,logit,0.004,-3.2296872005462647,19.677419354838708,0.876,500
step_00050,50,latent,train,logit,0.768,-0.8834209077619016,20.65,0.16,500
step_00100,100,latent,train,logit,0.822,-0.6885424094242044,20.45958429561201,0.134,500
step_00150,150,latent,train,logit,0.838,-0.6315033649652032,19.9954233409611,0.126,500
step_00200,200,latent,train,logit,0.87,-0.5413903022638987,19.856832971800433,0.078,500
step_00250,250,latent,train,logit,0.866,-0.42275404776679354,19.52,0.05,500
step_00300,300,latent,train,logit,0.918,-0.3431771647927235,19.537974683544302,0.052,500
step_00350,350,latent,train,logit,0.912,-0.32183019440062344,19.37787056367432,0.042,500
step_00400,400,latent,train,logit,0.918,-0.37375521970301634,19.426160337552744,0.052,500
step_00450,450,latent,train,logit,0.918,-0.3128623256093124,19.27542372881356,0.056,500
step_00500,500,latent,train,logit,0.944,-0.2547555518776644,19.2760736196319,0.022,500
final,535,latent,train,logit,0.972,-0.2161256704221014,19.271255060728745,0.012,500
base,0,synthetic,train,logit,0.0,-8.838266297578812,18.5,0.99,200
step_00050,50,synthetic,train,logit,0.095,-5.37205613233149,20.291666666666668,0.88,200
step_00100,100,synthetic,train,logit,0.175,-4.322666933164,21.642857142857142,0.79,200
step_00150,150,synthetic,train,logit,0.215,-3.7107284627482295,21.763636363636362,0.725,200
step_00200,200,synthetic,train,logit,0.24,-3.6277490409836175,22.035087719298247,0.715,200
step_00250,250,synthetic,train,logit,0.29,-3.3365402325615285,22.15714285714286,0.65,200
step_00300,300,synthetic,train,logit,0.37,-2.8732569657359273,22.166666666666668,0.58,200
step_00350,350,synthetic,train,logit,0.385,-2.741729780770838,22.0,0.58,200
step_00400,400,synthetic,train,logit,0.4,-2.5400699591543527,22.252747252747252,0.545,200
step_00450,450,synthetic,train,logit,0.475,-2.2075982989789917,22.28301886792453,0.47,200
step_00500,500,synthetic,train,logit,0.535,-2.0156575658451765,22.017391304347825,0.425,200
final,535,synthetic,train,logit,0.56,-1.9375034942943603,22.294117647058822,0.405,200
base,0,unknown,paraphrase,logit,0.065,-7.031221802905202,20.627659574468087,0.906,1000
step_00050,50,unknown,paraphrase,logit,0.304,-3.9459638319248334,20.953551912568305,0.634,1000
step_00100,100,unknown,paraphrase,logit,0.345,-3.466885532838758,20.593984962406015,0.601,1000
step_00150,150,unknown,paraphrase,logit,0.359,-3.179160701295943,20.628175519630485,0.567,1000
step_00200,200,unknown,paraphrase,logit,0.38,-3.1542603949338663,20.75330396475771,0.546,1000
step_00250,250,unknown,paraphrase,logit,0.394,-3.1550287729509874,20.323974082073434,0.537,1000
step_00300,300,unknown,paraphrase,logit,0.409,-3.0178583950512112,20.42462845010616,0.529,1000
step_00350,350,unknown,paraphrase,logit,0.404,-3.0566749727748683,20.254777070063696,0.529,1000
step_00400,400,unknown,paraphrase,logit,0.388,-3.131853883888689,20.441810344827587,0.536,1000
step_00450,450,unknown,paraphrase,logit,0.414,-3.0430434678521707,20.228865979381442,0.515,1000
step_00500,500,unknown,paraphrase,logit,0.42,-3.004477496674517,20.171717171717173,0.505,1000
final,535,unknown,paraphrase,logit,0.451,-2.8069211541535335,20.437262357414447,0.474,1000
base,0,unknown,train,logit,0.0,-7.411310758590698,19.0,0.998,500
step_00050,50,unknown,train,logit,0.298,-3.7343137941099704,21.201149425287355,0.652,500
step_00100,100,unknown,train,logit,0.382,-2.963200404876843,21.301435406698566,0.582,500
step_00150,150,unknown,train,logit,0.442,-2.54550076700747,21.266129032258064,0.504,500
step_00200,200,unknown,train,logit,0.494,-2.2648553715948947,21.355311355311354,0.454,500
step_00250,250,unknown,train,logit,0.56,-1.9088926787730307,20.71812080536913,0.404,500
