variant,step,fact_id,condition,layer,flipped,first_flip_layer
step_00050,50,cf_17408,latent,0,False,
step_00050,50,cf_17408,latent,1,False,
step_00050,50,cf_17408,latent,2,False,
step_00050,50,cf_17408,latent,3,False,
step_00050,50,cf_17408,latent,4,False,
step_00050,50,cf_17408,latent,5,False,
step_00050,50,cf_17408,latent,6,True,
step_00050,50,cf_17408,latent,7,True,
step_00050,50,cf_17408,latent,8,True,
step_00050,50,cf_17408,latent,9,True,
step_00050,50,cf_17408,latent,10,True,
step_00050,50,cf_17408,latent,11,True,
step_00050,50,cf_17408,latent,12,True,
step_00050,50,cf_17408,latent,13,True,
step_00050,50,cf_17408,latent,14,True,
step_00050,50,cf_17408,latent,15,True,
step_00050,50,cf_17408,latent,16,True,
step_00050,50,cf_17408,latent,17,True,
step_00050,50,cf_17408,latent,18,True,
step_00050,50,cf_17408,latent,19,True,
step_00050,50,cf_17408,latent,20,True,
step_00050,50,cf_17408,latent,21,True,
step_00050,50,cf_17408,latent,22,True,
step_00050,50,cf_17408,latent,23,True,
step_00050,50,cf_17408,latent,24,True,
step_00050,50,cf_17408,latent,-1,True,6.0
step_00050,50,cf_7214,latent,0,False,
step_00050,50,cf_7214,latent,1,False,
step_00050,50,cf_7214,latent,2,False,
step_00050,50,cf_7214,latent,3,False,
step_00050,50,cf_7214,latent,4,False,
step_00050,50,cf_7214,latent,5,False,
step_00050,50,cf_7214,latent,6,False,
step_00050,50,cf_7214,latent,7,False,
step_00050,50,cf_7214,latent,8,False,
step_00050,50,cf_7214,latent,9,False,
step_00050,50,cf_7214,latent,10,False,
step_00050,50,cf_7214,latent,11,False,
step_00050,50,cf_7214,latent,12,True,
step_00050,50,cf_7214,latent,13,True,
step_00050,50,cf_7214,latent,14,True,
step_00050,50,cf_7214,latent,15,True,
step_00050,50,cf_7214,latent,16,True,
step_00050,50,cf_7214,latent,17,True,
step_00050,50,cf_7214,latent,18,True,
step_00050,50,cf_7214,latent,19,True,
step_00050,50,cf_7214,latent,20,True,
step_00050,50,cf_7214,latent,21,True,
step_00050,50,cf_7214,latent,22,True,
step_00050,50,cf_7214,latent,23,True,
step_00050,50,cf_7214,latent,24,True,
step_00050,50,cf_7214,latent,-1,True,12.0
step_00050,50,cf_9130,latent,0,False,
step_00050,50,cf_9130,latent,1,False,
step_00050,50,cf_9130,latent,2,False,
step_00050,50,cf_9130,latent,3,False,
step_00050,50,cf_9130,latent,4,False,
step_00050,50,cf_9130,latent,5,False,
step_00050,50,cf_9130,latent,6,False,
step_00050,50,cf_9130,latent,7,False,
step_00050,50,cf_9130,latent,8,False,
step_00050,50,cf_9130,latent,9,False,
step_00050,50,cf_9130,latent,10,False,
step_00050,50,cf_9130,latent,11,False,
step_00050,50,cf_9130,latent,12,True,
step_00050,50,cf_9130,latent,13,True,
step_00050,50,cf_9130,latent,14,True,
step_00050,50,cf_9130,latent,15,True,
step_00050,50,cf_9130,latent,16,True,
step_00050,50,cf_9130,latent,17,True,
step_00050,50,cf_9130,latent,18,True,
step_00050,50,cf_9130,latent,19,True,
step_00050,50,cf_9130,latent,20,True,
step_00050,50,cf_9130,latent,21,True,
step_00050,50,cf_9130,latent,22,True,
step_00050,50,cf_9130,latent,23,True,
step_00050,50,cf_9130,latent,24,True,
step_00050,50,cf_9130,latent,-1,True,12.0
step_00050,50,cf_12408,latent,0,False,
step_00050,50,cf_12408,latent,1,False,
step_00050,50,cf_12408,latent,2,False,
step_00050,50,cf_12408,latent,3,False,
step_00050,50,cf_12408,latent,4,False,
step_00050,50,cf_12408,latent,5,False,
step_00050,50,cf_12408,latent,6,False,
step_00050,50,cf_12408,latent,7,False,
step_00050,50,cf_12408,latent,8,False,
step_00050,50,cf_12408,latent,9,False,
step_00050,50,cf_12408,latent,10,False,
step_00050,50,cf_12408,latent,11,True,
step_00050,50,cf_12408,latent,12,True,
step_00050,50,cf_12408,latent,13,True,
step_00050,50,cf_12408,latent,14,True,
step_00050,50,cf_12408,latent,15,True,
step_00050,50,cf_12408,latent,16,True,
step_00050,50,cf_12408,latent,17,True,
step_00050,50,cf_12408,latent,18,True,
step_00050,50,cf_12408,latent,19,True,
step_00050,50,cf_12408,latent,20,True,
step_00050,50,cf_12408,latent,21,True,
step_00050,50,cf_12408,latent,22,False,
step_00050,50,cf_12408,latent,23,True,
step_00050,50,cf_12408,latent,24,True,
step_00050,50,cf_12408,latent,-1,True,11.0
step_00050,50,cf_4698,latent,0,False,
step_00050,50,cf_4698,latent,1,False,
step_00050,50,cf_4698,latent,2,False,
step_00050,50,cf_4698,latent,3,False,
step_00050,50,cf_4698,latent,4,False,
step_00050,50,cf_4698,latent,5,False,
step_00050,50,cf_4698,latent,6,False,
step_00050,50,cf_4698,latent,7,False,
step_00050,50,cf_4698,latent,8,False,
step_00050,50,cf_4698,latent,9,False,
step_00050,50,cf_4698,latent,10,False,
step_00050,50,cf_4698,latent,11,False,
step_00050,50,cf_4698,latent,12,True,
step_00050,50,cf_4698,latent,13,True,
step_00050,50,cf_4698,latent,14,True,
step_00050,50,cf_4698,latent,15,True,
step_00050,50,cf_4698,latent,16,True,
step_00050,50,cf_4698,latent,17,True,
