variant,step,condition,prompt_type,lens,final_accuracy,mean_final_logprob,mean_first_layer,frac_never_top1,n_prompts,rank
base,0,known,paraphrase,logit,0.312,-3.9231424142234026,20.413978494623656,0.628,1000,0
r4,4,known,paraphrase,logit,0.818,-0.796728090930701,20.263710618436406,0.143,1000,4
r8,8,known,paraphrase,logit,0.82,-0.7513097537619178,19.78068181818182,0.12,1000,8
r16,16,known,paraphrase,logit,0.808,-0.7453066623614286,19.387243735763096,0.122,1000,16
r32,32,known,paraphrase,logit,0.814,-0.7045915031836485,19.27683615819209,0.115,1000,32
base,0,known,train,logit,0.988,-1.6223416598103941,21.155555555555555,0.01,500,0
r4,4,known,train,logit,0.96,-0.20955340628523844,19.514344262295083,0.024,500,4
r8,8,known,train,logit,0.962,-0.174319350293139,18.99188640973631,0.014,500,8
r16,16,known,train,logit,0.978,-0.14205593223781035,18.76104417670683,0.004,500,16
r32,32,known,train,logit,0.978,-0.1120327112597879,18.65330661322645,0.002,500,32
base,0,latent,paraphrase,logit,0.132,-5.027552240639925,20.552083333333332,0.808,1000,0
r4,4,latent,paraphrase,logit,0.701,-1.225710003152024,20.842953020134228,0.255,1000,4
r8,8,latent,paraphrase,logit,0.719,-1.1347798377355793,20.34403080872914,0.221,1000,8
r16,16,latent,paraphrase,logit,0.746,-1.054721782823617,19.949257425742573,0.192,1000,16
r32,32,latent,paraphrase,logit,0.745,-0.9839715614655288,19.867001254705144,0.203,1000,32
base,0,latent,train,logit,0.002,-3.2482921590805054,19.615384615384617,0.87,500,0
r4,4,latent,train,logit,0.88,-0.5306798378157546,20.25438596491228,0.088,500,4
r8,8,latent,train,logit,0.904,-0.44824087142129426,19.605150214592275,0.068,500,8
r16,16,latent,train,logit,0.932,-0.33826628306071505,19.22869022869023,0.038,500,16
r32,32,latent,train,logit,0.946,-0.23004328252060804,19.012320328542096,0.026,500,32
base,0,synthetic,train,logit,0.0,-8.838061208724975,18.5,0.99,200,0
r4,4,synthetic,train,logit,0.255,-3.6707340884581208,22.21311475409836,0.695,200,4
r8,8,synthetic,train,logit,0.295,-3.2447139428555967,22.15714285714286,0.65,200,8
r16,16,synthetic,train,logit,0.385,-2.71090045241639,22.252747252747252,0.545,200,16
r32,32,synthetic,train,logit,0.535,-2.2039289270481093,22.115044247787612,0.435,200,32
base,0,unknown,paraphrase,logit,0.054,-6.962337802007794,19.82758620689655,0.913,1000,0
r4,4,unknown,paraphrase,logit,0.381,-3.071337349780777,21.007058823529412,0.575,1000,4
r8,8,unknown,paraphrase,logit,0.397,-3.018674880523933,20.533632286995516,0.554,1000,8
r16,16,unknown,paraphrase,logit,0.436,-2.8394606785970975,20.349896480331264,0.517,1000,16
r32,32,unknown,paraphrase,logit,0.417,-2.871459861516225,20.12421052631579,0.525,1000,32
base,0,unknown,train,logit,0.0,-7.381193147659301,19.285714285714285,0.986,500,0
r4,4,unknown,train,logit,0.472,-2.3638037459622137,21.416,0.5,500,4
r8,8,unknown,train,logit,0.538,-1.977744112498127,21.118466898954704,0.426,500,8
r16,16,unknown,train,logit,0.654,-1.5140702394344845,20.733333333333334,0.31,500,16
r32,32,unknown,train,logit,0.692,-1.2964977529297175,20.633879781420767,0.268,500,32
base,0,known,paraphrase,tuned,0.312,-3.9231424142234026,19.08495145631068,0.588,1000,0
r4,4,known,paraphrase,tuned,0.818,-0.796728090930701,19.20366132723112,0.126,1000,4
r8,8,known,paraphrase,tuned,0.82,-0.7513097537619178,18.80909090909091,0.12,1000,8
r16,16,known,paraphrase,tuned,0.808,-0.7453066623614286,18.623024830699773,0.114,1000,16
r32,32,known,paraphrase,tuned,0.814,-0.7045915031836485,18.680493273542602,0.108,1000,32
base,0,known,train,tuned,0.988,-1.6223416598103941,19.5,0.004,500,0
r4,4,known,train,tuned,0.96,-0.20955340628523844,18.276985743380855,0.018,500,4
r8,8,known,train,tuned,0.962,-0.174319350293139,17.953441295546558,0.012,500,8
r16,16,known,train,tuned,0.978,-0.14205593223781035,18.018072289156628,0.004,500,16
r32,32,known,train,tuned,0.978,-0.1120327112597879,17.9438877755511,0.002,500,32
base,0,latent,paraphrase,tuned,0.132,-5.027552240639925,19.536036036036037,0.778,1000,0
r4,4,latent,paraphrase,tuned,0.701,-1.225710003152024,19.760319573901466,0.249,1000,4
r8,8,latent,paraphrase,tuned,0.719,-1.1347798377355793,19.248101265822786,0.21,1000,8
r16,16,latent,paraphrase,tuned,0.746,-1.054721782823617,19.115621156211564,0.187,1000,16
r32,32,latent,paraphrase,tuned,0.745,-0.9839715614655288,19.196319018404907,0.185,1000,32
base,0,latent,train,tuned,0.002,-3.2482921590805054,19.49074074074074,0.784,500,0
r4,4,latent,train,tuned,0.88,-0.5306798378157546,19.114718614718615,0.076,500,4
r8,8,latent,train,tuned,0.904,-0.44824087142129426,18.59442060085837,0.068,500,8
r16,16,latent,train,tuned,0.932,-0.33826628306071505,18.54979253112033,0.036,500,16
r32,32,latent,train,tuned,0.946,-0.23004328252060804,18.453798767967147,0.026,500,32
base,0,synthetic,train,tuned,0.0,-8.838061208724975,22.5,0.99,200,0
r4,4,synthetic,train,tuned,0.255,-3.6707340884581208,21.74576271186441,0.705,200,4
r8,8,synthetic,train,tuned,0.295,-3.2447139428555967,21.77027027027027,0.63,200,8
r16,16,synthetic,train,tuned,0.385,-2.71090045241639,21.72043010752688,0.535,200,16
r32,32,synthetic,train,tuned,0.535,-2.2039289270481093,21.47826086956522,0.425,200,32
base,0,unknown,paraphrase,tuned,0.054,-6.962337802007794,18.7,0.89,1000,0
r4,4,unknown,paraphrase,tuned,0.381,-3.071337349780777,19.965197215777263,0.569,1000,4
r8,8,unknown,paraphrase,tuned,0.397,-3.018674880523933,19.50769230769231,0.545,1000,8
r16,16,unknown,paraphrase,tuned,0.436,-2.8394606785970975,19.53923541247485,0.503,1000,16
r32,32,unknown,paraphrase,tuned,0.417,-2.871459861516225,19.590534979423868,0.514,1000,32
base,0,unknown,train,tuned,0.0,-7.381193147659301,19.2,0.99,500,0
r4,4,unknown,train,tuned,0.472,-2.3638037459622137,20.56640625,0.488,500,4
r8,8,unknown,train,tuned,0.538,-1.977744112498127,20.248322147651006,0.404,500,8
r16,16,unknown,train,tuned,0.654,-1.5140702394344845,19.930232558139537,0.312,500,16
r32,32,unknown,train,tuned,0.692,-1.2964977529297175,20.10326086956522,0.264,500,32
